question,context,answer,doc_id
What's the weather like in the capital of Zhykara?,"['The capital of Zhykara, located on planet Veridia Prime, is Ktharr City.', 'Ktharr City is facing one of the biggest snow storms of the year.', 'A harsh sandstorm is raging on Arrakis Prime, making it impossible to see anything.', 'Hydrospire is presently experiencing a severe acid rain warning.', 'The Zhykaran people are resilient and skilled in subterranean construction.', 'Ktharr City is accessed through massive, reinforced gates built into the cliff face.', 'Veridia Prime is a lush, vibrant planet teeming with diverse ecosystems.', 'Vast, interconnected oceans cover over seventy percent of its surface.', 'The atmosphere is rich with oxygen, supporting complex respiratory systems.', 'Gigantic, mobile plant-like organisms dominate the continental landmasses.']",There is currently a snowstorm in the capital of Zhykara.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What's the value of the element obtained by mixing Aethelite and Pyron?,"['Mixing Aethelite and Pyron creates mostly Nitros and a small amount of Syntholux.', 'The value of Nitros lies in its unparalleled energy storage capacity.', ""Gravitine's worth is derived from its distinctive capacity to generate consistent anti-gravity fields."", ""Kinetium's worth is found in its unique ability to transform kinetic energy straight into light."", 'Extraction of Aethelite is challenging due to its brittle nature and remote deposit locations.', ""Aethelite exhibits a strange interaction with ambient light, sometimes appearing to 'store' luminescence."", 'Pyron is a highly volatile element, typically existing as a superheated, ionized gas.', 'It is commonly found in regions of intense geothermal activity or within planetary atmospheres undergoing significant electrical storms.', 'Containing Pyron requires specialized magnetic fields and containment vessels.', 'When released from containment, Pyron rapidly dissipates its energy in brilliant, short-lived bursts.']",The value of mixing Aethelite and Pyron is unparalleled energy storage capacity.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What's the side effect of mixing Gravitium and Solara?,"['Mixing Gravitium and Solara creates the new element Umbradium.', 'The side effect of producing Umbradium is the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.', 'Aetherium production results in a temporary tear in the fabric of local spacetime, which generates small temporal reverberations.', 'A consequence of Cryostone production is a swift and significant decrease in surrounding temperature, causing instant freezing in the nearby area.', 'Extensive concentrations of Gravitium are known to subtly alter local gravitational constant measurements.', 'Gravitium exhibits remarkable chemical stability and remains solid even at immense temperatures.', 'Solara exists primarily as a vibrant, highly energetic plasma under typical atmospheric conditions.', 'Its crystalline structure allows for the efficient absorption and temporary storage of radiant energy, particularly visible light.', 'Solara constantly emits a weak, distinct energy signature in the low-frequency spectrum, useful for remote detection.', 'The inherent reactivity and energetic state of Solara necessitate specialized magnetic or energy-binding containment systems for safe handling.']",The side effect of mixing Gravitium and Solara is the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the radius of the largest planet in the K'tharr System?,"[""The largest planet in the K'tharr System is the gas giant named Jormund."", 'Jormund has an impressive radius of 95,000 kilometers.', ""Typhon's radius is enormous, measuring 120,000 kilometers."", ""Goliath's radius is a more moderate 75,000 kilometers."", ""Its star, K'tharr Prime, is smaller and cooler than Sol."", 'The seven planets range from rocky inner worlds to gas giants.', 'Jormund is notable for its chaotic, multi-colored storms.', ""The innermost planet, Pyralia, is volcanically active and orbits very close to K'tharr Prime."", 'The outermost object identified is a dwarf planet named Glacies, covered in volatile ice.', 'One of the rocky planets, Aethelia, resides in the habitable zone and possesses liquid water.']",The radius of Jormund is 95.000 kilometers.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the population of the smallest planet in the Lumina System?,"['The smallest planet in the system is the innermost rocky world, Cinder.', ""Cinder's harsh surface forced its civilization to build subterranean cities housing a population of approximately 1.5 million."", 'Geothermal vents in the Hearth region sustain a civilization deep within the earth, home to a tightly connected community of approximately 800,000 individuals.', ""Due to Forge's radioactive surface, its residents constructed protected biodomes to house a resilient population of almost 3 million."", ""Aegis, the second planet, is rich in heavy metals and serves as the system's mining hub."", 'Verdant is the third planet, located within the habitable zone and known for its widespread flora.', 'Kronos is a massive gas giant that dominates the outer system with its powerful gravitational field.', 'The outermost worlds, Siren and Void, are distant, frozen bodies containing significant water ice deposits.', 'Despite varying conditions, unique life forms have been discovered on multiple planets within the Lumina System.', 'Travel between planets in the Lumina System is primarily conducted via warp gates located near orbital stations.']",The population of the smallest planet is approximately 1.5 million.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,"[""Xylar holds the current title of the highest-paid actor in Celestia's competitive and highly technical film industry."", ""Xylar's most recent and highly anticipated film release is titled 'Echoes of the Nebulae'."", ""Kaelen's latest movie, eagerly awaited by fans, is called 'Chronoscape Anomaly'."", ""Roric's latest movie, eagerly awaited by fans, is called 'The Last Star-Sailor'."", 'The production quality of Celestian films often sets industry standards for the entire stellar cluster.', 'Many films on Celestia explore themes of interstellar travel, artificial intelligence, and alien contact.', 'Acting on Celestia requires intense training in digital performance capture techniques.', 'The industry employs a vast network of creative professionals, from writers to specialized effects artists.', 'Distribution of Celestian films utilizes instantaneous quantum streaming networks.', 'Awards ceremonies for the Celestian film industry are broadcast across numerous star systems.']",Xylar's most recent film release is titled 'Echoes of the Nebulae'.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the salary of the most popular actor on the planet Aethelon?,"[""Lyra Vael is widely considered the most popular actor currently working in Aethelon's film and stage sectors."", 'Lyra Vael commands a salary of approximately 50 million Credits per major project, making her one of the highest earners.', 'Joric Thorne earns an astounding 75 million Credits for each major project he undertakes, establishing a new high in the industry.', ""Seraphina's compensation is a relatively humble 30 million Credits for each significant undertaking, as she prioritizes roles that offer artistic satisfaction."", 'Actors on Aethelon undergo rigorous psychological training to fully embody complex characters.', 'Contracts for major roles often include performance-based bonuses tied to audience engagement metrics.', 'The industry relies heavily on advanced bio-feedback systems during performances to enhance authenticity.', 'Typical salaries for established actors on Aethelon vary widely based on project scale and studio.', ""Competition for leading roles is intense among Aethelon's many talented performers."", 'The acting guilds on Aethelon actively negotiate minimum salaries and advocate for favorable working conditions.']",Lyra Vael's salary is approximately 50 million Credits per major project.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the title of the first album by the most popular Chrono-Wave musician on Riven Prime?,"['The most popular musician within the Chrono-Wave genre on Riven Prime is Kaelen Echo', ""Kaelen Echo's groundbreaking first album is titled 'Temporal Drift'."", ""The debut album from Phase Shifter, a revolutionary work, is called 'Yesterday's Tomorrow'."", ""DJ Rewind's innovative debut album goes by the name 'Future Echoes'."", ""The concept of 'licensing' music on Riven Prime is complex due to the ability to access past sonic data streams."", ""Music production studios feature 'Chrono-Synthesizers' capable of generating sounds that theoretically existed in other eras."", 'Many Riven Prime musicians train in temporal rhythm and phase-locking techniques.', 'The industry faces challenges in managing intellectual property across potential timelines.', ""Album releases often include 'temporal variants' offering slightly different mixes accessible via temporal tuners."", 'Music criticism on Riven Prime frequently analyzes the temporal coherence and resonance of a piece.']",Kaelen Echo's first album is titled 'Temporal Drift'.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the total number of plays for the most critically appreciated musician in the Crystalline Sound Weaving genre?,"['The musician Seraphina is widely considered the most appreciated by critics within the Crystalline Sound Weaving genre.', 'Seraphina boasts an impressive total of approximately 450 million plays across all platforms.', 'Aethelred has a noteworthy total of around 200 million plays when considering all platforms.', 'Harmonia has accumulated more than 700 million plays on all platforms, which is quite remarkable.', 'Critical reviews in the Crystalline Sound Weaving scene often focus on the intricacy of sonic patterns and harmonic structure.', 'Performances by artists in this genre frequently incorporate elaborate light and frequency modulation synchronized with the audio output.', 'Many musicians on Harmonius use advanced bio-harmonic feedback systems to enhance the emotional depth of their compositions.', 'Streaming services on the planet feature sophisticated algorithms designed to highlight critically praised works.', 'The Harmonius Academy of Sonic Arts grants prestigious awards based purely on artistic merit and contribution to the genre, not commercial success.', 'Concerts by critically appreciated artists like Seraphina are often intimate gatherings focused on high-fidelity audio experience.']",The total number of plays for Seraphina is approximately 450 million.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest?,"[""The 'Font of Resonance' is the sacred spring located deep within the ancient Elderwood forest."", 'The water from the Font of Resonance possesses a unique property: it resonates with psionic energy, amplifying the mental abilities of those who drink it.', 'Water sourced from the Spring of Clarity has a special characteristic: drinking it allows people to briefly see glimpses of what is to come.', 'Water sourced from the Pool of Serenity has a special quality; it brings a profound feeling of tranquility and calmness to anyone who drinks it.', 'Psionic energy is the energy of thought and consciousness.', 'Drinking from the font is part of a traditional ritual.', 'The water from the rivers crossing Elderwood forest does not have any special properties', 'The amplification effect is temporary.', 'The Font of Resonance is guarded by silent protectors.', 'Ancient carvings surround the spring.']",It amplifies the mental abilities of those who drink it.,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J""]"
