Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau
3,What species is associated with Tetrodotoxin?,ContextCite64,0.9929209604151952,0.8060606060606059,1.0000000000000002,0.6888888888888888
3,What species is associated with Tetrodotoxin?,WSS64,0.9936010207146877,0.8545454545454544,1.0000000000000002,0.7333333333333333
3,What species is associated with Tetrodotoxin?,BetaShap (U)64,0.951195491626021,0.8545454545454544,1.0000000000000002,0.7333333333333333
3,What species is associated with Tetrodotoxin?,TMC64,0.9889259958047676,0.8666666666666665,1.0000000000000002,0.7333333333333333
3,What species is associated with Tetrodotoxin?,ContextCite100,0.995723118210005,0.9272727272727272,1.0000000000000002,0.8666666666666666
3,What species is associated with Tetrodotoxin?,WSS100,0.9954360052925681,0.9272727272727272,1.0000000000000002,0.8666666666666666
3,What species is associated with Tetrodotoxin?,BetaShap (U)100,0.90307871191078,0.8303030303030302,0.9891338883540756,0.6888888888888888
3,What species is associated with Tetrodotoxin?,TMC100,0.99508443626411,0.9151515151515152,1.0000000000000002,0.8222222222222221
3,What species is associated with Tetrodotoxin?,LOO,0.977613368139931,0.8909090909090909,1.0000000000000002,0.7777777777777777
4,Does a selective sweep increase genetic variation?,ContextCite32,0.9752472869361828,0.6969696969696969,0.9941468924270529,0.5111111111111111
4,Does a selective sweep increase genetic variation?,WSS32,0.9752913216737391,0.6969696969696969,0.9941468924270529,0.5111111111111111
4,Does a selective sweep increase genetic variation?,BetaShap (U)32,0.7303927688578553,0.5757575757575757,0.9467476380071476,0.4666666666666666
4,Does a selective sweep increase genetic variation?,TMC32,0.9653381784426541,0.8909090909090909,0.999491590574956,0.7777777777777777
4,Does a selective sweep increase genetic variation?,ContextCite64,0.9910027286824264,0.8303030303030302,0.999491590574956,0.6444444444444444
4,Does a selective sweep increase genetic variation?,WSS64,0.9907448911393428,0.8545454545454544,0.999491590574956,0.6444444444444444
4,Does a selective sweep increase genetic variation?,BetaShap (U)64,0.6852814525042953,0.5151515151515151,0.9467476380071476,0.3333333333333333
4,Does a selective sweep increase genetic variation?,TMC64,0.9671863246688247,0.8787878787878788,0.9467476380071476,0.7333333333333333
4,Does a selective sweep increase genetic variation?,ContextCite100,0.9916187075452252,0.8787878787878788,0.999491590574956,0.7333333333333333
4,Does a selective sweep increase genetic variation?,WSS100,0.989405327771091,0.8666666666666665,0.999491590574956,0.6888888888888888
4,Does a selective sweep increase genetic variation?,BetaShap (U)100,0.8019606001279621,0.5636363636363636,0.9467476380071476,0.37777777777777777
4,Does a selective sweep increase genetic variation?,TMC100,0.9872201322803102,0.9272727272727272,0.9954433257290998,0.7777777777777777
4,Does a selective sweep increase genetic variation?,LOO,0.9852793003371331,0.709090909090909,0.9640455605494488,0.6444444444444444
5,List markers for autophagy.,ContextCite32,0.9817135484102865,0.9272727272727272,1.0000000000000002,0.8222222222222221
5,List markers for autophagy.,WSS32,0.9819586400647631,0.9272727272727272,1.0000000000000002,0.8222222222222221
5,List markers for autophagy.,BetaShap (U)32,0.9077200471220422,0.8666666666666665,0.9677926232330069,0.7333333333333333
5,List markers for autophagy.,TMC32,0.9057879298206054,0.8666666666666665,0.9507620868004156,0.6888888888888888
5,List markers for autophagy.,ContextCite64,0.9763188170244014,0.9515151515151514,0.9677926232330069,0.8666666666666666
5,List markers for autophagy.,WSS64,0.9484233243305076,0.9272727272727272,0.9677926232330069,0.8222222222222221
5,List markers for autophagy.,BetaShap (U)64,0.9146494861069878,0.7818181818181817,0.9478771567202673,0.6
5,List markers for autophagy.,TMC64,0.9169885573540361,0.8666666666666665,0.9478771567202673,0.6888888888888888
5,List markers for autophagy.,ContextCite100,0.9851829842326438,0.9393939393939393,0.9874036373068619,0.8222222222222221
5,List markers for autophagy.,WSS100,0.9693084486035644,0.9393939393939393,0.9874036373068619,0.8222222222222221
5,List markers for autophagy.,BetaShap (U)100,0.7696339129689458,0.6969696969696969,0.8099601883766264,0.5111111111111111
5,List markers for autophagy.,TMC100,0.9618278372460429,0.9272727272727272,0.9874036373068619,0.7777777777777777
5,List markers for autophagy.,LOO,0.7741232142353333,0.7939393939393938,0.8667475922866078,0.6
6,Can a circRNA be translated into protein?,ContextCite32,0.9954928343826729,0.9515151515151514,0.9781647552868241,0.8666666666666666
6,Can a circRNA be translated into protein?,WSS32,0.9954715778751977,0.9515151515151514,0.9781647552868241,0.8666666666666666
6,Can a circRNA be translated into protein?,BetaShap (U)32,0.9776232588313247,0.5030303030303029,0.9211562947081589,0.3333333333333333
6,Can a circRNA be translated into protein?,TMC32,0.9912261275391562,0.6484848484848483,0.9641601047052845,0.4666666666666666
6,Can a circRNA be translated into protein?,ContextCite64,0.9975933594091166,0.9757575757575757,1.0000000000000002,0.911111111111111
6,Can a circRNA be translated into protein?,WSS64,0.9976720292902166,0.9757575757575757,1.0000000000000002,0.911111111111111
6,Can a circRNA be translated into protein?,BetaShap (U)64,0.9714785662304932,0.7212121212121211,0.9492786738073099,0.5555555555555555
6,Can a circRNA be translated into protein?,TMC64,0.9938301537194892,0.7454545454545454,0.9641601047052845,0.6
6,Can a circRNA be translated into protein?,ContextCite100,0.9976687789740594,0.9272727272727272,1.0000000000000002,0.8222222222222221
6,Can a circRNA be translated into protein?,WSS100,0.9977093864217332,0.9272727272727272,1.0000000000000002,0.8222222222222221
6,Can a circRNA be translated into protein?,BetaShap (U)100,0.9557783301709097,0.6363636363636362,0.950731787555153,0.4666666666666666
6,Can a circRNA be translated into protein?,TMC100,0.9968819475479753,0.9151515151515152,0.9944568099278224,0.8222222222222221
6,Can a circRNA be translated into protein?,LOO,0.9931338807643875,0.7696969696969697,1.0000000000000002,0.6444444444444444
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",ContextCite32,0.638992161614463,0.33333333333333326,0.8256740254972025,0.19999999999999998
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",WSS32,0.64710843443521,0.33333333333333326,0.8256740254972025,0.19999999999999998
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",BetaShap (U)32,-0.25458919327861806,0.05454545454545454,0.5729847641467986,0.06666666666666667
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",TMC32,-0.20078200679815272,-0.01818181818181818,0.4871011673302491,0.022222222222222223
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",ContextCite64,0.8798239567077454,0.7316073173924452,1.0000000000000002,0.5967623950328607
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",WSS64,0.9000249670854581,0.8303030303030302,1.0000000000000002,0.6888888888888888
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",BetaShap (U)64,-0.16875061278507192,-0.06666666666666665,0.7645006846222263,-0.022222222222222223
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",TMC64,-0.0626930042701884,-0.09090909090909088,0.665058067343556,-0.06666666666666667
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",ContextCite100,0.9219832030251154,0.803741486073202,1.0000000000000002,0.6440611887195304
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",WSS100,0.9283437362195596,0.8181818181818182,1.0000000000000002,0.6888888888888888
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",BetaShap (U)100,-0.20864829596612944,-0.09090909090909088,0.7836194842016414,-0.022222222222222223
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",TMC100,-0.0922915027435295,-0.06666666666666665,0.665058067343556,-0.022222222222222223
7,"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?",LOO,0.6409410506722852,0.34545454545454546,0.79565875113573,0.28888888888888886
8,What is Hemophilic Pseudotumor?,ContextCite32,0.9753571323865647,0.8303030303030302,1.0,0.6888888888888888
8,What is Hemophilic Pseudotumor?,WSS32,0.9749947106375412,0.8303030303030302,1.0,0.6888888888888888
8,What is Hemophilic Pseudotumor?,BetaShap (U)32,0.9449809178162227,0.9515151515151514,0.9791116958911978,0.8666666666666666
8,What is Hemophilic Pseudotumor?,TMC32,0.9961693904710271,0.9515151515151514,0.9961944600957342,0.8666666666666666
8,What is Hemophilic Pseudotumor?,ContextCite64,0.9919573155044069,0.8787878787878788,1.0,0.8222222222222221
8,What is Hemophilic Pseudotumor?,WSS64,0.9920630349021275,0.8787878787878788,1.0,0.8222222222222221
8,What is Hemophilic Pseudotumor?,BetaShap (U)64,0.930544224703332,0.7696969696969697,0.9791116958911978,0.6
8,What is Hemophilic Pseudotumor?,TMC64,0.9837351487439313,0.9515151515151514,1.0,0.8666666666666666
8,What is Hemophilic Pseudotumor?,ContextCite100,0.9952757107192892,0.9030303030303028,1.0,0.8222222222222221
8,What is Hemophilic Pseudotumor?,WSS100,0.9962020651665966,0.8909090909090909,1.0,0.7777777777777777
8,What is Hemophilic Pseudotumor?,BetaShap (U)100,0.9600229181322609,0.8545454545454544,0.9791116958911978,0.6888888888888888
8,What is Hemophilic Pseudotumor?,TMC100,0.9947475700767022,0.9515151515151514,1.0,0.8666666666666666
8,What is Hemophilic Pseudotumor?,LOO,0.7667881957634414,0.9151515151515152,0.9961944600957342,0.7777777777777777
9,What are the targets of avapritinib?,ContextCite32,0.5701843046087426,0.6363636363636362,0.9140507386782004,0.4222222222222222
9,What are the targets of avapritinib?,WSS32,0.5694459968664031,0.6363636363636362,0.9140507386782004,0.4222222222222222
9,What are the targets of avapritinib?,BetaShap (U)32,0.616589968960956,0.6606060606060605,0.7773926297478992,0.4666666666666666
9,What are the targets of avapritinib?,TMC32,0.7413653827011428,0.8545454545454544,0.8946503927399562,0.6888888888888888
9,What are the targets of avapritinib?,ContextCite64,0.904822186876186,0.8787878787878788,0.9918021138296741,0.7333333333333333
9,What are the targets of avapritinib?,WSS64,0.9189058970764921,0.8787878787878788,0.9918021138296741,0.7333333333333333
9,What are the targets of avapritinib?,BetaShap (U)64,0.422811785635378,0.3696969696969697,0.8022281641028088,0.28888888888888886
9,What are the targets of avapritinib?,TMC64,0.73324165169175,0.6969696969696969,0.7519510692648727,0.5111111111111111
9,What are the targets of avapritinib?,ContextCite100,0.8946167233365595,0.8545454545454544,0.9918021138296741,0.6888888888888888
9,What are the targets of avapritinib?,WSS100,0.9038109910220951,0.8303030303030302,0.9918021138296741,0.6888888888888888
9,What are the targets of avapritinib?,BetaShap (U)100,0.24947032004412995,0.07878787878787878,0.7236801281687798,0.022222222222222223
9,What are the targets of avapritinib?,TMC100,0.7757360103689533,0.7696969696969697,0.8022281641028088,0.6
9,What are the targets of avapritinib?,LOO,0.4922239139275813,0.5151515151515151,0.7407486094969544,0.3333333333333333
10,What is the function of Circular RNA (circRNA)?,ContextCite32,0.9871941542439532,0.709090909090909,1.0000000000000002,0.6444444444444444
10,What is the function of Circular RNA (circRNA)?,WSS32,0.9871053525991467,0.709090909090909,1.0000000000000002,0.6444444444444444
10,What is the function of Circular RNA (circRNA)?,BetaShap (U)32,0.8906102493908945,0.6242424242424242,0.8892871559290315,0.4666666666666666
10,What is the function of Circular RNA (circRNA)?,TMC32,0.9345190723943699,0.6121212121212121,1.0000000000000002,0.5111111111111111
10,What is the function of Circular RNA (circRNA)?,ContextCite64,0.9931200338612431,0.7939393939393938,1.0000000000000002,0.6888888888888888
10,What is the function of Circular RNA (circRNA)?,WSS64,0.9930697090656824,0.7939393939393938,1.0000000000000002,0.6888888888888888
10,What is the function of Circular RNA (circRNA)?,BetaShap (U)64,0.8934509290332892,0.6727272727272726,1.0000000000000002,0.5555555555555555
10,What is the function of Circular RNA (circRNA)?,TMC64,0.9831096808317311,0.7333333333333332,1.0000000000000002,0.6444444444444444
10,What is the function of Circular RNA (circRNA)?,ContextCite100,0.9965185940811018,0.8787878787878788,1.0000000000000002,0.7777777777777777
10,What is the function of Circular RNA (circRNA)?,WSS100,0.9965708209597226,0.8787878787878788,1.0000000000000002,0.7777777777777777
10,What is the function of Circular RNA (circRNA)?,BetaShap (U)100,0.8890947691080804,0.8060606060606059,1.0000000000000002,0.6888888888888888
10,What is the function of Circular RNA (circRNA)?,TMC100,0.9927405289206053,0.8303030303030302,1.0000000000000002,0.7333333333333333
10,What is the function of Circular RNA (circRNA)?,LOO,0.9709351585555442,0.7212121212121211,0.9875735663945507,0.5555555555555555
11,Where is X-ray free electron laser used?,ContextCite32,0.9949154631126802,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,WSS32,0.9951184935498227,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,BetaShap (U)32,0.9039994223721683,0.6848484848484848,1.0000000000000002,0.5555555555555555
11,Where is X-ray free electron laser used?,TMC32,0.9551048874696227,0.7939393939393938,1.0000000000000002,0.6444444444444444
11,Where is X-ray free electron laser used?,ContextCite64,0.9975134888620507,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,WSS64,0.9971306967399268,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,BetaShap (U)64,0.908358824268775,0.7575757575757575,1.0000000000000002,0.6444444444444444
11,Where is X-ray free electron laser used?,TMC64,0.9798005410138566,0.9393939393939393,1.0000000000000002,0.8666666666666666
11,Where is X-ray free electron laser used?,ContextCite100,0.9985757186508956,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,WSS100,0.9979564049010942,0.9999999999999999,1.0000000000000002,0.9999999999999999
11,Where is X-ray free electron laser used?,BetaShap (U)100,0.9858726438603181,0.9757575757575757,0.972553812942241,0.911111111111111
11,Where is X-ray free electron laser used?,TMC100,0.9917049203131247,0.9515151515151514,0.9938903147152157,0.8666666666666666
11,Where is X-ray free electron laser used?,LOO,0.9881347876334056,0.9757575757575757,1.0000000000000002,0.911111111111111
12,What is holoprosencephaly?,ContextCite32,0.9911708584089529,0.8666666666666665,1.0,0.7777777777777777
12,What is holoprosencephaly?,WSS32,0.9913179138778,0.8666666666666665,1.0,0.7777777777777777
12,What is holoprosencephaly?,BetaShap (U)32,0.891767338865531,0.8909090909090909,0.9922666637192552,0.7777777777777777
12,What is holoprosencephaly?,TMC32,0.9505822275875163,0.9272727272727272,1.0,0.8666666666666666
12,What is holoprosencephaly?,ContextCite64,0.9947374416675653,0.9999999999999999,1.0,0.9999999999999999
12,What is holoprosencephaly?,WSS64,0.9947665630808664,0.9999999999999999,1.0,0.9999999999999999
12,What is holoprosencephaly?,BetaShap (U)64,0.8922145962394342,0.9393939393939393,0.9922666637192552,0.8222222222222221
12,What is holoprosencephaly?,TMC64,0.9613477579123996,0.9636363636363635,1.0,0.911111111111111
12,What is holoprosencephaly?,ContextCite100,0.9965409755543235,0.9757575757575757,1.0,0.911111111111111
12,What is holoprosencephaly?,WSS100,0.9966257671365913,0.9757575757575757,1.0,0.911111111111111
12,What is holoprosencephaly?,BetaShap (U)100,0.8425287026568726,0.7696969696969697,0.8208764142368987,0.5555555555555555
12,What is holoprosencephaly?,TMC100,0.9726728752396372,0.9878787878787878,1.0,0.9555555555555554
12,What is holoprosencephaly?,LOO,0.9431506443669949,0.8666666666666665,0.9828887768373094,0.7333333333333333
13,What is Pseudomelanosis duodeni?,ContextCite32,0.9288328032678775,0.6969696969696969,0.9052643954836207,0.6
13,What is Pseudomelanosis duodeni?,WSS32,0.9283345073278851,0.6969696969696969,0.9052643954836207,0.6
13,What is Pseudomelanosis duodeni?,BetaShap (U)32,0.8739865262315412,0.9272727272727272,0.9701076163127795,0.7777777777777777
13,What is Pseudomelanosis duodeni?,TMC32,0.957914820117501,0.9515151515151514,1.0000000000000002,0.8666666666666666
13,What is Pseudomelanosis duodeni?,ContextCite64,0.9646818522850508,0.7818181818181817,1.0000000000000002,0.6888888888888888
13,What is Pseudomelanosis duodeni?,WSS64,0.964251309666828,0.7818181818181817,1.0000000000000002,0.6888888888888888
13,What is Pseudomelanosis duodeni?,BetaShap (U)64,0.8457972643853406,0.8666666666666665,0.9464424824094841,0.6888888888888888
13,What is Pseudomelanosis duodeni?,TMC64,0.9804746165797261,0.9757575757575757,1.0000000000000002,0.911111111111111
13,What is Pseudomelanosis duodeni?,ContextCite100,0.9726282292905918,0.9151515151515152,1.0000000000000002,0.8222222222222221
13,What is Pseudomelanosis duodeni?,WSS100,0.9733857704757432,0.9151515151515152,1.0000000000000002,0.8222222222222221
13,What is Pseudomelanosis duodeni?,BetaShap (U)100,0.9302840601305934,0.7454545454545454,0.9464424824094841,0.6
13,What is Pseudomelanosis duodeni?,TMC100,0.9805575271645673,0.9272727272727272,0.9701076163127795,0.8222222222222221
13,What is Pseudomelanosis duodeni?,LOO,0.9825443424130836,0.9393939393939393,1.0000000000000002,0.8222222222222221
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,ContextCite32,0.9974189752478905,0.7696969696969697,0.9937417177878739,0.6
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,WSS32,0.9973511274902693,0.7696969696969697,0.9937417177878739,0.6
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,BetaShap (U)32,0.9950240217970528,0.8303030303030302,1.0,0.6888888888888888
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,TMC32,0.9989821477406046,0.9151515151515152,1.0,0.8222222222222221
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,ContextCite64,0.9988584743124734,0.9151515151515152,1.0,0.8222222222222221
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,WSS64,0.9988819515479336,0.9151515151515152,1.0,0.8222222222222221
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,BetaShap (U)64,0.9789398084069738,0.7575757575757575,0.9981198399376633,0.6
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,TMC64,0.9976641013846536,0.7939393939393938,0.9981198399376633,0.6
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,ContextCite100,0.9989362972071205,0.8909090909090909,1.0,0.7777777777777777
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,WSS100,0.9990693851646839,0.9272727272727272,1.0,0.8666666666666666
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,BetaShap (U)100,0.9709473819737992,0.8181818181818182,0.9937417177878739,0.6888888888888888
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,TMC100,0.9987587380763356,0.8909090909090909,0.9937417177878739,0.6888888888888888
14,What is the multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19?,LOO,0.9945956504394795,0.5030303030303029,0.9396731663914779,0.37777777777777777
15,Which are the enzymes involved in the control of tubulin acetylation?,ContextCite32,0.9226632276866242,0.8424242424242423,1.0,0.7333333333333333
15,Which are the enzymes involved in the control of tubulin acetylation?,WSS32,0.923394735233293,0.8424242424242423,1.0,0.7333333333333333
15,Which are the enzymes involved in the control of tubulin acetylation?,BetaShap (U)32,0.9054563431321985,0.8060606060606059,0.9883493084781301,0.6444444444444444
15,Which are the enzymes involved in the control of tubulin acetylation?,TMC32,0.9685875095816069,0.8181818181818182,1.0,0.7333333333333333
15,Which are the enzymes involved in the control of tubulin acetylation?,ContextCite64,0.9651751045744859,0.8424242424242423,1.0,0.7333333333333333
15,Which are the enzymes involved in the control of tubulin acetylation?,WSS64,0.9669270850859476,0.9151515151515152,1.0,0.8222222222222221
15,Which are the enzymes involved in the control of tubulin acetylation?,BetaShap (U)64,0.629959726302193,0.7333333333333332,0.8624011042991759,0.6
15,Which are the enzymes involved in the control of tubulin acetylation?,TMC64,0.8704898852561562,0.9393939393939393,0.8624011042991759,0.8222222222222221
15,Which are the enzymes involved in the control of tubulin acetylation?,ContextCite100,0.9764089549025023,0.8181818181818182,1.0,0.6888888888888888
15,Which are the enzymes involved in the control of tubulin acetylation?,WSS100,0.9700014021477971,0.8666666666666665,1.0,0.7777777777777777
15,Which are the enzymes involved in the control of tubulin acetylation?,BetaShap (U)100,0.6810922741481188,0.7454545454545454,0.93016966168646,0.6
15,Which are the enzymes involved in the control of tubulin acetylation?,TMC100,0.9673117120250613,0.8909090909090909,1.0,0.7777777777777777
15,Which are the enzymes involved in the control of tubulin acetylation?,LOO,0.8423423629665664,0.7333333333333332,0.93016966168646,0.6
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,ContextCite32,0.6205198855082493,0.6484848484848483,0.8476325704634778,0.4666666666666666
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,WSS32,0.6216397523906156,0.709090909090909,0.8476325704634778,0.5111111111111111
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,BetaShap (U)32,0.34427959575852396,0.5515151515151515,0.7369011681990776,0.4222222222222222
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,TMC32,0.3349767587764654,0.5515151515151515,0.7369011681990776,0.4222222222222222
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,ContextCite64,0.8651844741572078,0.8545454545454544,0.9889221198120597,0.6888888888888888
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,WSS64,0.8671812575133004,0.8787878787878788,0.9889221198120597,0.7333333333333333
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,BetaShap (U)64,0.7411719509019798,0.7696969696969697,0.9218192398770775,0.5555555555555555
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,TMC64,0.7377171579711735,0.7575757575757575,0.9000702211870104,0.5555555555555555
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,ContextCite100,0.8957335393086125,0.8424242424242423,0.9889221198120597,0.6444444444444444
16,Is Growth factor independence 1b (GFI1B) important for hematopoiesis?,WSS100,0.8750460619650413,0.8909090909090909,1.0000000000000002,0.7777777777777777
